symbol,neutrons,protons,instability,abundance
Si,11,14,0.9997800241982254,0.0
Si,12,14,0.997757218800538,0.0
Si,13,14,0.9958585993501196,0.0
Si,14,14,0.0,92.2545
Si,15,14,0.0,4.672
Si,16,14,0.0,3.0735
Si,17,14,7.935334157756176e-05,0.0
Si,18,14,0.0,0.0
Si,19,14,0.9939086280914775,0.0
Si,20,14,0.9972338329101296,0.0
Si,21,14,0.9992203041209234,0.0
Si,22,14,0.9995501012348142,0.0
Si,23,14,0.9999100040498785,0.0
Si,24,14,0.9999370019844583,0.0
Si,25,14,0.9999525011281072,0.0
Si,26,14,0.9999670005444941,0.0
Si,27,14,0.9999800001999987,0.0
Si,28,14,0.9999875000781246,0.0
P,11,15,0.9999563009548311,0.0
P,12,15,0.9997400337970709,0.0
P,13,15,0.9997297365277538,0.0
P,14,15,0.9958665662507818,0.0
P,15,15,0.8608112675795742,0.0
P,16,15,0.0,100.0
P,17,15,0.0,0.0
P,18,15,0.0,0.0
P,19,15,0.987646933359538,0.0
P,20,15,0.9538012143007338,0.0
P,21,15,0.9944156507715979,0.0
P,22,15,0.9976926659967874,0.0
P,23,15,0.9993602047563164,0.0
P,24,15,0.9997200391963416,0.0
P,25,15,0.9998500112494375,0.0
P,26,15,0.9998990051003283,0.0
P,27,15,0.999951501176106,0.0
P,28,15,0.999963500666117,0.0
P,29,15,0.999981500171124,0.0
S,11,16,0.9999845001201244,0.0
S,12,16,0.9998750078121745,0.0
S,13,16,0.9998120176708926,0.0
S,14,16,0.9988226935696316,0.0
S,15,16,0.9974498571529188,0.0
S,16,16,0.0,94.85
S,17,16,0.0,0.763
S,18,16,0.0,4.365
S,19,16,0.0,0.0
S,20,16,0.0,0.0158
S,21,16,0.7385990963704826,0.0
S,22,16,3.6507238571888917e-05,0.0
S,23,16,0.988565872247913,0.0
S,24,16,0.9912386066707672,0.0
S,25,16,0.99801197873722,0.0
S,26,16,0.998984515953249,0.0
S,27,16,0.9997350351093987,0.0
S,28,16,0.9999000049998333,0.0
S,29,16,0.9999320023119476,0.0
S,30,16,0.9999500012499791,0.0
Cl,14,17,0.9998100180488569,0.0
Cl,15,17,0.9997020443975897,0.0
Cl,16,17,0.9974921499234625,0.0
Cl,17,17,0.9984745646610474,0.0
Cl,18,17,0.0,75.8
Cl,19,17,0.0,0.0
Cl,20,17,0.0,24.2
Cl,21,17,0.10712059747409468,0.0
